code,flightnum,depicao,arricao,route,aircraft,flightlevel,distance,deptime,arrtime,flighttime,notes,price,flighttype,daysofweek,enabled
CSN,474 (1),KLAX,ZGGG,,B-2026,37000,,0:30,15:00,14:30,,867,C,15,1
CSN,474 (2),KLAX,ZGGG,,B-2026,37000,,19:10,9:20,14:10,,867,C,0,1
CSN,474 (3),KLAX,ZGGG,,B-2026,37000,,11:25,1:35,14:10,,867,C,3,1
CSN,474 (4),KLAX,ZGGG,,B-2026,37000,,20:30,11:05,14:35,,867,C,4,1
CSN,474 (5),KLAX,ZGGG,,B-2026,37000,,22:00,13:51,15:51,,867,C,2,1
CSN,477 (1A),ZGGG,PANC,,B-2026,38000,,21:55,8:25,10:30,,619,C,25,1
CSN,477 (1B),PANC,KLAX,,B-2026,37000,,4:30,9:20,4:50,,315,C,1,1
CSN,477 (2A),PANC,KLAX,,B-2026,37000,,10:50,15:40,4:50,,315,C,6,1
CSN,477 (2B),ZGGG,PANC,,B-2026,38000,,22:30,3:30,5:00,,619,C,0,1
CSN,477 (3A),PANC,KLAX,,B-2026,37000,,9:50,14:40,4:50,,315,C,3,1
CSN,477 (3B),ZGGG,PANC,,B-2026,38000,,22:20,7:17,8:57,,619,C,3,1
CSN,477 (4A),PANC,KLAX,,B-2026,37000,,8:38,13:35,4:57,,315,C,4,1
CSN,477 (5A),PANC,KLAX,,B-2026,37000,,12:30,17:35,5:05,,315,C,0,1
CSN,478 (1),KLAX,ZGGG,,B-2072,37000,,0:30,15:00,14:30,,867,C,40,1
CSN,478 (2),KLAX,ZGGG,,B-2072,37000,,12:20,0:50,12:30,,867,C,2,1
CSN,478 (3),KLAX,ZGGG,,B-2072,37000,,21:10,11:20,14:10,,867,C,3,1
CSN,478 (4),KLAX,ZGGG,,B-2072,37000,,21:05,11:20,14:15,,867,C,6,1
CSN,495 (1),ZSPD,EHAM,,B-20EN,38000,,16:30,5:20,12:50,,677,P,50,1
CSN,495 (2),ZSPD,EHAM,,B-20EN,38000,,16:25,7:00,14:35,,677,P,3,1
CSN,497 (1A),ZSPD,PANC,,B-20EM,38000,,22:00,7:30,9:30,,537,P,5,1
CSN,497 (1B),PANC,KORD,,B-20EM,37000,,3:30,9:05,5:35,,372,P,6,1
CSN,497 (2A),ZSPD,PANC,,B-20EM,38000,,9:50,15:38,5:47,,537,P,6,1
CSN,498 (1),KORD,ZGSZ,,B-20EM,37000,,3:00,18:00,15:00,,928,P,1,1
CSN,498 (2),KORD,ZGSZ,,B-20EM,37000,,12:05,21:55,9:50,,928,P,0,1
CSN,600,KJFK,ZGGG,,B-20C5,37000,,5:45,21:40,15:55,,954,P,6,1
CSN,627,ZYTX,RJAA,,B-6308,37000,,0:30,3:30,3:00,,163,P,4,1
CSN,628,RJAA,ZYTX,,B-6308,38000,,5:30,8:55,3:25,,163,P,4,1
CSN,629,ZYTL,RJAA,,B-6660,37000,,0:10,3:05,2:55,,170,P,2,1
CSN,630,RJAA,ZYTL,,B-6660,38000,,5:00,8:30,3:30,,170,P,2,1
CSN,633,ZGGG,HKJK,,B-30C0,38000,,17:05,4:15,11:10,,660,P,50,1
CSN,634,HKJK,ZGGG,,B-30C0,37000,,12:50,0:05,11:15,,660,P,16,1
CSN,635,ZYTX,VHHH,,B-6308,38000,,0:50,5:20,4:30,,213,P,35,1
CSN,636,VHHH,ZYTX,,B-6308,37000,,6:50,10:50,4:00,,213,P,35,1
CSN,661,ZGGG,LIRF,,B-1128,38000,,17:10,6:10,13:00,,694,P,2,1
CSN,662,LIRF,ZGGG,,B-1128,37000,,12:40,0:30,11:50,,694,P,3,1
CSN,681,ZYTX,RKSI,,B-6308,27000,,1:00,2:45,1:45,,88,P,260,1
CSN,682,RKSI,ZYTX,,B-6308,28000,,4:40,6:35,1:55,,88,P,260,1
CSN,685,ZYTL,RKSI,,B-6660,27000,,3:05,4:20,1:15,,83,P,14,1
CSN,686,RKSI,ZYTL,,B-6660,28000,,6:35,8:10,1:35,,83,P,14,1
CSN,699,ZGGG,KJFK,,B-20CK,38000,,11:00,2:10,15:10,,954,P,4,1
CSN,790 (1),CYHU,CYFB,,C-FYPN,37000,,18:55,22:09,3:14,,195,P,3,1
CSN,790 (2),CYHU,CYFB,,C-FYPN,37000,,18:55,22:13,3:18,,195,P,2,1
CSN,3000,ZBAD,ZGGG,,B-6628,38000,,1:30,4:40,3:10,,178,P,1234560,1
CSN,3001 (A),ZHCC,HSSJ,,B-209D,38000,,18:45,9:10,14:25,,682,P,2,1
CSN,3001 (B),ZUCK,HSSJ,,B-1168,38000,,19:50,9:10,13:20,,633,P,23,1
CSN,3001 (C),ZBSJ,ZUCK,,B-1168,38000,,15:50,18:20,2:30,,135,P,23,1
CSN,3002 (A),HSSJ,OMDW,,B-1168,37000,,12:10,16:15,4:05,,286,P,34,1
CSN,3002 (B),OMDW,ZBTJ,,B-20E8,37000,,17:45,1:50,8:05,,469,P,3,1
CSN,3002 (C),OMDW,ZBSJ,,B-1168,37000,,17:45,1:35,7:50,,453,P,4,1
CSN,3003,ZHCC,HSSJ,,B-20E8,38000,,21:45,12:10,14:25,,682,P,2,1
CSN,3004 (A),OMDW,ZBTJ,,B-20E8,37000,,20:45,4:50,8:05,,469,P,3,1
CSN,3004 (B),HSSJ,OMDW,,B-20E8,37000,,15:10,19:15,4:05,,286,P,3,1
CSN,3037,ZGGG,WIII,,B-30E2,38000,,4:00,9:10,5:10,,285,P,145,1
CSN,3038,WIII,ZGGG,,B-30E2,37000,,10:40,15:00,4:20,,285,P,145,1
CSN,3039,ZGGG,WSSS,,B-1293,38000,,4:05,8:15,4:10,,235,P,2,1
